order_id,user_id,amount,quantity,created_at,status
A3246,0870,382.11,8,2025-02-01T17:45:00Z,PAID
A3426,0308,77.96,3,2025-10-24T13:28:00Z,paid
A2476,0633,,5,2025-05-26T21:50:00Z,refunded
A3436,0882,449.22,5,2025-04-06T21:29:00Z,
A0987,0674,,9,2025-05-12T08:57:00Z,refunded
A2754,0086,246.55,6,,refunded
A4253,0936,123.58,7,2025-01-24T22:43:00Z,Refunded
A0181,0198,101.22,2,2025-05-09T04:35:00Z,refunded
A4215,0101,64.92,,2025-10-17T22:01:00Z,Pending
A0058,0149,41.08,6,2025-07-08T21:04:00Z,
A1566,0097,194.6,7,2025-09-06T22:20:00Z,paid
A4319,0160,37.94,7,,PAID
A0266,0047,290.87,1,2025-07-23T22:36:00Z,Paid
A0875,0354,50.01,8,2025-05-08T18:31:00Z,paid
A2997,0766,448.87,4,2025-01-26T02:26:00Z,Paid
A0157,0575,413.48,6,2025-05-05T15:06:00Z,refunded
A4352,0316,245.8,9,2025-09-11T02:33:00Z,PAID
A2575,0578,136.83,4,2025-07-20T23:25:00Z,
A2557,0596,38.34,,2025-10-23T10:30:00Z,refund
A2726,0021,275.02,6,2025-11-02T05:48:00Z,
A2587,0407,55.22,6,2025-05-05T01:43:00Z,Paid
A1735,0647,,,2025-06-18T01:04:00Z,refunded
A2206,0675,442.67,7,2025-02-16T20:55:00Z,
A2297,0314,241.61,5,2025-04-25T17:11:00Z,refund
A2011,0032,254.19,2,2025-01-06T08:19:00Z,paid
A3336,0428,261.65,3,2025-04-21T23:47:00Z,refunded
A1910,0144,12.15,4,2025-12-06T09:14:00Z,Refunded
A0245,0254,376.18,4,2025-01-07T19:16:00Z,PAID
A0802,0339,136.81,5,2025-11-15T09:34:00Z,Pending
A0854,0457,267.64,6,,paid
A2777,0366,270.81,3,2025-01-04T18:30:00Z,Refunded
A0465,0607,420.9,,2025-02-27T15:51:00Z,Pending
A0182,0021,484.58,7,2025-06-14T01:33:00Z,refunded
A2090,0199,343.33,6,2025-06-24T11:29:00Z,Paid
A1608,0573,33.3,9,2025-12-05T02:39:00Z,refund
A0068,0058,126.72,4,2025-09-08T21:29:00Z,refund
A2767,0126,258.97,2,2025-02-27T13:20:00Z,Refunded
A1930,0063,337.26,,2025-04-16T14:54:00Z,refund
A2343,0422,105.02,3,2025-09-21T22:09:00Z,Paid
A1187,0273,426.12,,2025-03-03T02:04:00Z,PAID
A1726,0275,316.45,9,2025-03-31T12:32:00Z,
A0155,0213,217.08,2,2025-02-02T20:43:00Z,Paid
A3613,0184,279.39,4,2025-01-08T09:51:00Z,refunded
A4148,0922,462.76,3,2025-09-12T05:59:00Z,
A3171,0456,22.37,8,2025-01-23T22:55:00Z,Paid
A0792,0288,323.78,,2025-08-07T19:19:00Z,refund
A0853,0138,11.01,7,2025-07-11T15:07:00Z,Paid
A1959,0494,446.33,1,2025-06-03T09:38:00Z,PAID
A1235,0267,6.67,,2025-06-26T10:30:00Z,Refunded
A3590,0610,102.47,4,2025-10-06T17:41:00Z,Pending
A4381,0954,352.82,6,2025-08-31T11:58:00Z,refunded
A0241,0115,275.2,5,2025-03-24T14:52:00Z,refund
A3039,0001,393.49,,2025-05-30T01:37:00Z,Refunded
A4879,0532,367.46,8,,PAID
A0116,0888,475.92,,2025-09-06T14:18:00Z,refunded
A4641,0284,387.17,4,2025-03-01T23:36:00Z,Refunded
A4834,0718,,4,2025-10-30T05:30:00Z,PAID
A2522,0909,179.25,8,2025-09-27T18:13:00Z,PAID
A2985,0360,339.17,6,2025-04-13T19:14:00Z,refund
A4259,0616,90.66,8,2025-11-14T04:45:00Z,Refunded
A4643,0337,432.3,7,2025-05-14T01:10:00Z,Pending
A1973,0399,290.31,3,2025-06-04T06:53:00Z,Pending
A4564,0543,99.96,6,2025-02-09T13:54:00Z,Paid
